고문헌자료아이디,한약재아이디,한의서명,수록위치,고문헌원문,번역문,번역문출처
CLTX1312,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 〔集解〕,"頌曰朮今處處有之, 以茅山ㆍ嵩山者爲佳. 春生苗, 靑色無. 莖作蒿幹狀, 靑赤色, 長三二尺以來. 夏開花, 紫碧色, 亦似刺花, 或有黃白色者. 入伏後結子, 至秋而苗枯. 根似薑而旁有細根, 皮黑, 心黃白色, 中有膏液紫色. 其根乾濕通用. 陶隱居言朮有二種, 則《爾雅》所謂, 卽白朮也. 今白朮生杭ㆍ越ㆍ舒ㆍ宣州高山崗上, 葉葉相對, 上有毛, 方莖, 莖端生花, 淡紫碧紅數色, 根作生. 二月三月八月九月採, 曝乾用, 以大塊紫花爲勝. 古方所用朮者, 皆白朮也.","소송은 ""출은 지금 곳곳에서 나는데, 모산과 숭산(嵩山) 것을 좋게 여긴다. 봄에 싹이 나는데 푸르고 갈라짐이 없다. 줄기는 쑥 줄기 모양을 이루고 청적색이며, 길이는 2-3척 정도이다. 여름에 꽃이 피는데, 자벽색이고 자계화(刺花)와 유사하거나, 혹 황백색도 있다. 꽃이 진 뒤에 씨가 맺히는데, 가을이 되면 싹이 마른다. 뿌리는 생강과 유사하면서 곁에 가느다란 뿌리가 있고, 껍질은 검으며, 심은 황백색이고 속에는 자색의 기름이 있다. 그 뿌리는 습(濕)을 말리는 데에 모두 통용한다. 도은거(陶隱居)는 출은 두 종류라고 말했는데, 《이아》에서 말한 부계()는 백출이다. 지금 백출은 항주(杭州), 월주(越州), 서주(舒州), 선주(宣州)의 높은 산의 언덕에서 나는데, 잎마다 서로 마주보고 있고 표면에 털이 나 있으며, 네모진 줄기의 끝에 꽃이 피는데, 옅은 자벽색과 홍색이 많고, 뿌리는 갈라져 난다. 2월과 3월, 8월과 9월에 채취하여 햇볕에 말려 쓰는데, 큰 덩어리진 자색 꽃을 좋게 여긴다. 옛 처방에서 쓴 출은 모두 백출이다.""라고 하였다.",한의학고전DB
CLTX1313,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 〔集解〕,"宗奭曰蒼朮長如大小指, 肥實, 皮色褐, 其氣味辛烈, 須米浸洗, 去皮用. 白朮粗促, 色微褐, 其氣亦微辛苦而不烈. 古方及《本經》止言朮, 不分蒼ㆍ白二種, 亦宜兩審.","구종석은 ""창출은 길이가 엄지발가락만 하고 통통하며, 껍질은 갈색이고 기와 맛이 맵고 강렬하여 쌀뜨물에 담가 씻어 낸 다음 껍질을 제거하여 쓴다. 백출은 거칠고 옅은 갈색이며, 기 또한 약간 맵고 쓰지만 강렬하지는 않다. 옛 처방 및 《본경》에서는 출(朮)이라고만 말하고 창출과 백출 두 종류를 분리하지 않았으니, 두 가지를 살펴야 한다.""라고 하였다.",한의학고전DB
CLTX1314,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 〔集解〕,"時珍曰蒼朮, 山也, 處處山中有之. 苗高二三尺, 其葉抱莖而生, 梢間葉似棠梨葉, 其脚下葉有三五叉, 皆有鋸齒小刺. 根如老薑之狀, 蒼黑色, 肉白有油膏. 白朮, 也, 吳越有之. 人多取根栽蒔, 一年卽稠. 嫩苗可茹, 葉稍大而有毛. 根如指大, 狀如鼓槌, 亦有大如拳者. 彼人剖開曝乾, 謂之削朮, 亦曰片朮. 陳自良言白而肥者, 是浙朮;瘦而黃者, 是幕阜山所出, 其力劣. 昔人用朮不分赤ㆍ白. 自宋以來, 始言蒼朮苦辛氣烈, 白朮苦甘氣和, 各自施用, 亦頗有理. 以秋採者佳, 春採者虛軟易壞. 含《南方草木狀》云, 藥有吃力伽, 卽朮也. 瀕海所産, 一根有至數斤者, 採餌尤良.","이시진은 ""창출은 산계(山)이고 곳곳의 산 속에 있다. 싹의 높이는 2-3척이고 잎은 줄기를 감싸고 나며, 줄기 끝 부분의 잎은 팥배나무 잎과 유사하고, 줄기 아랫부분의 잎은 3-5개가 엇갈려 있고 모두 톱니와 작은 가시가 있다. 뿌리는 늙은 생강과 모양이 같고 검푸른 색이며, 육질은 희고 기름기가 있다. 백출은 부계()이고 오월(吳越) 지역에 있다. 사람들 대부분 뿌리를 채취하여 심으면 1년만에 무성하게 자란다. 여린 싹은 먹을 수 있고, 잎은 조금 크면서 털이 있다. 뿌리는 손가락만 하고 모양이 북채 같고, 또한 주먹만 한 것도 있다. 저들은 뿌리를 쪼개서 햇볕에 말리는데, 삭출(削朮)이라 하거나 편출(片朮)이라고도 한다. 진자량(陳自良)이 희면서 통통한 것은 절출(浙朮)이고, 야위고 누런 것은 막부산(幕阜山)에서 나는 것으로 약력이 떨어진다. 옛사람들은 창출을 적백으로 구분하지 않았다. 송나라 이후에야 창출은 맛이 쓰고 기가 강렬하며 백출은 쓰고 달면서 기가 온화하다고 말하여 각각 스스로 사용하였으니, 또한 자못 이치가 있다. 모두 가을에 채취한 것이 좋고 봄에 채취한 것은 속이 비고 연하여 쉽게 문드러진다. 혜함(含)의 《남방초목상(南方草木狀)》에서는 '약재로 흘력가(吃力伽)가 있는데, 곧 출이다. 바닷가에서 나는 것 가운데 뿌리 하나가 몇 근이 나가는 것은 채취하여 먹으면 더욱 좋다.' 하였다.""라고 하였다.",한의학고전DB
CLTX1315,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 〔集解〕,"嘉謨曰浙朮俗名云頭朮, 種平壤, 頗肥大, 由糞力也, 易潤油. 朮俗名狗頭朮, 雖瘦小, 得土氣充也, 甚燥白, 勝於浙朮. 寧國ㆍ昌化ㆍ池州者, 同朮, 境相也.","진가모는 ""절출은 민간에서 두출(頭朮)이라 하고, 평평한 땅에 심으면 자못 통통하고 큰데, 거름의 힘 때문이고, 쉽게 기름진다. 흡출(朮)은 민간에서는 구두출(狗頭朮)이라 하고, 여위고 작지만 땅에 심으면 기가 충만해지는데, 매우 마르고 흰 것은 절출보다 좋다. 영국(寧國), 창화(昌化), 지주(池州)에서 나는 것은 모두 흡출과 같은데, 경계가 서로 이웃해 있기 때문이다.""라고 하였다.",한의학고전DB
CLTX1316,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 氣味,"甘, 溫, 無毒.《別錄》曰甘. 權曰甘, 辛. 曰味苦而甘, 性溫, 味厚氣薄, 陽中陰也, 可升可降. 好古曰入手太陽ㆍ少陰, 足太陰ㆍ陽明ㆍ少陰ㆍ厥陰六經. 之才曰防風ㆍ地楡爲之使. 權曰忌桃ㆍ李ㆍ菜ㆍ雀肉ㆍ靑魚. 嘉謨曰咀後人乳汁潤之, 制其性也. 脾病, 以陳壁土炒過, 竊土氣以助脾也.","《명의별록》에서는 ""맛이 달다.""라고 하였다. 견권은 ""맛이 달고 맵다.""라고 하였다. 이고는 ""맛이 쓰고 달며 성질은 따뜻하고, 맛이 진하지만 기가 엷으니, 양 속의 음이어서 오르게도 내리게도 할 수 있다.""라고 하였다. 왕호고는 ""수태양경, 수소음경, 족태양경, 족양명경, 족소음경, 족궐음경의 여섯 경락으로 들어간다.""라고 하였다. 서지재는 ""방풍과 지유가 사(使)가 된다.""라고 하였다. 견권은 ""복숭아, 오얏, 상추, 참새고기, 청어를 먹지 말아야 한다.""라고 하였다. 진가모는 ""질게 간 뒤에 젖에 개어 촉촉하게 하면 성질을 제어한다. 비(脾)의 병에는 묵은 벽토(壁土)를 넣고 볶는데, 흙의 기가 비(脾)를 돕기 때문인 듯하다.""라고 하였다.",한의학고전DB
CLTX1317,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 主治,"風寒濕痺, 死肌痙疸, 止汗除熱消食. 作煎餌, 久服, 輕身延年不飢.本經 主大風在身面, 風眩頭痛, 目淚出, 消痰水, 逐皮間風水結腫, 除心下急滿, 亂吐下不止, 利腰臍間血, 益津液, 暖胃消穀嗜食.別錄 治心腹脹滿, 腹中冷痛, 胃虛下利, 多年氣痢, 除寒熱, 止嘔逆.甄權 反胃, 利小便, 主五勞七傷, 補腰膝, 長肌肉, 治冷氣, 癖氣塊, 婦人冷.大明 除濕益氣, 和中補陽, 消痰逐水, 生津止渴, 止瀉痢, 消足脛濕腫, 除胃中熱ㆍ肌熱. 得枳實, 消滿氣分. 佐黃芩, 安胎淸熱.元素 理胃益脾, 補肝風虛, 主舌本强, 食則嘔, 胃脘痛, 身體重, 心下急痛, 心下水. 衝脈爲病, 逆氣裏急, 臍腹痛.好古","풍한으로 인한 습비(濕痺), 피부가 죽거나 경련이나 황달을 치료한다. 땀을 멎게 하고 열을 제거하며 음식을 소화시킨다. 끓여서 음식을 만들어 오래 복용하면 몸이 가벼워지고 수명이 늘며 굶주리지 않는다.본경 대풍(大風)이 몸과 얼굴에 있어 발생한 풍현(風眩)과 두통, 눈물이 나는 증상을 주치한다. 담수(痰水)를 삭인다. 피부 사이의 풍수로 맺힌 종기를 몰아내고, 명치가 당기고 그득하여 생긴 곽란으로 구토와 설사가 멎지 않는 것을 제거한다. 허리와 배꼽 사이의 혈을 소통시키고, 진액을 더해 주며, 위(胃)를 따뜻하게 하여 곡식을 소화시키고 음식 생각이 나게 한다.별록 가슴과 배가 불러오르고 그득한 증상, 배 속이 차고 아픈 증상, 위가 허하여 설사가 나오는 증상, 다년간의 기리(氣痢)를 치료한다. 한열을 제거하고, 구역질을 멎게 한다.견권 반위를 멎게 하고 소변을 잘 나오게 하며, 오로칠상(五勞七傷)을 주치한다. 허리와 무릎을 보해 주고 살을 자라나게 하며, 냉기와 현벽(癖)으로 기가 뭉친 증상, 부인의 냉증으로 인한 징가를 치료한다.대명 습을 제거하고 기를 증가시키며, 속을 고르게 하고 양을 보해 주며, 담을 삭이고 수(水)를 몰아내며, 진액을 생성하고 갈증을 멎게 한다. 설사와 이질을 멎게 하고 다리와 정강이의 습종(濕腫)을 삭이며, 위 속의 열과 피부의 열을 제거한다. 지실을 만나면 기분이 막히고 그득한 것을 제거한다. 황금을 좌약(佐藥)으로 삼으면 태를 안정시키고 열을 식힌다.원소 위를 다스리고 비를 유익하게 하며, 간풍으로 인한 허증을 보해 준다. 혀 뿌리가 뻣뻣해지는 증상, 음식을 먹으면 구역질하는 증상, 위완의 통증, 몸이 무거운 증상, 명치가 당기고 아픈 증상, 명치에 수가 막힌 증상을 주치한다. 충맥에 병이 들어서 기가 치밀어오르고 속이 당기며 배꼽과 배가 아픈 증상을 치료한다.호고",한의학고전DB
CLTX1318,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 發明,"好古曰本草無蒼ㆍ白朮之名. 近世多用白朮, 治皮間風, 出汗消, 補胃和中, 利腰臍間血, 通水道. 上而皮毛, 中而心胃, 下而腰臍, 在氣主氣, 在血主血, 無汗則發, 有汗則止, 與黃耆同功.","왕호고는 ""본초서에는 창출과 백출이라는 이름이 없다. 근세에는 대부분 창출을 써서 피부 사이의 풍을 치료하거나 땀을 멎게 하고 담을 삭이거나, 위를 보해 주고 속을 고르게 하며, 허리와 배꼽 사이의 혈을 소통시키고, 소변을 잘 나오게 한다. 위로는 피부와 털, 가운데로는 심과 위, 아래로는 배와 배꼽으로 들어가고, 기에 있으면 기를 주치하고, 혈에 있으면 혈을 주치하고, 땀이 나지 않으면 발산시키고, 땀이 나면 멎게 하니, 황기와 효과가 같다.""라고 하였다.",한의학고전DB
CLTX1319,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 發明,"元素曰白朮除濕益燥, 和中補氣. 其用有九, ①溫中, 一也;②去脾胃中濕, 二也;③除胃中熱, 三也;④强脾胃, 進飮食, 四也;⑤和胃生津液, 五也;⑥止肌熱, 六也;⑦四肢困倦, 嗜臥, 目不能開, 不思飮食, 七也;⑧止渴, 八也;⑨安胎, 九也. 凡中焦不受濕不能下利, 必須白朮以逐水益脾. 非白朮不能去濕, 非枳實不能消, 故枳朮丸以之爲君.","장원소는 ""백출은 습을 제거하고 마른 것을 보익하며, 속을 고르게 하고 기를 보해 준다. 그 쓰임새는 아홉 가지로, ①속을 따뜻하게 하고, ②비위 속의 습을 제거하고, ③위 속의 열을 제거하고, ④비위를 강하게 하여 음식을 잘 먹게 하고, ⑤위를 고르게 하여 진액을 생성하고, ⑥피부의 열을 멎게 하고, ⑦팔다리가 나른하고 눕기를 좋아하며 눈을 뜨지 못하고 음식 생각이 없는 것을 치료하고, ⑧갈증을 멎게 하고, ⑨태를 안정시킨다. 중초에서 습을 받지 못하여 소변이 나오지 않을 때는 반드시 백출로 수를 몰아내고 비위를 보익해야 한다. 백출이 아니면 습을 제거하지 못하고, 지실이 아니면 막힌 것을 삭이지 못하므로 지출환(枳朮丸)을 으뜸으로 삼는다.""라고 하였다.",한의학고전DB
CLTX1320,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 發明,"機曰脾惡濕, 濕勝則氣不得施化, 津何由生 故曰膀胱者津液之府, 氣化則能出焉. 用白朮以除其濕, 則氣得周流而津液生矣.","왕기는 ""비의 악한 습은 습이 우세하면 기가 운화하지 못하니, 진액이 어디서 나오겠는가. 그러므로 방광은 진액의 창고가 되고, 기가 운화하면 나올 수 있다. 백출은 습을 제거하니, 기가 두루 흐르게 되면 진액이 생성된다.""라고 하였다.",한의학고전DB
CLTX1321,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"枳朮丸消强胃, 久服令人食自不停也. 白朮一兩黃壁土炒過去土, 枳實炒去一兩, 爲末, 荷葉包飯燒熟, 搗和丸梧子大. 每服五十丸, 白湯下. 氣滯, 加橘皮一兩. 有火, 加黃連一兩. 有痰, 加半夏一兩. 有寒, 加乾薑五錢, 木香三錢. 有食, 加神麴ㆍ麥蘖各五錢.《潔古家珍》","지출환:막힌 것을 삭이고 위를 강하게 하며, 오래 복용하면 먹는 것을 멎지 않게 한다. 백출 1냥(황벽토를 넣고 볶은 다음 황벽토를 빼낸다), 지실(밀기울을 넣고 볶은 다음 밀기울을 빼낸다) 1냥을 가루 내고 연잎에 싸서 지은 밥과 함께 찧어 벽오동씨만 한 환약을 만든다. 이것을 50환씩 끓인 물로 복용한다. 기가 막혔을 때는 귤피 1냥을 더한다. 화(火)가 있을 때는 황련 1냥을 더한다. 담(痰)이 있을 때는 반하 1냥을 더한다. 한(寒)이 있을 때는 건강 5돈, 목향 3돈을 더한다. 음식을 먹게 하고자 할 때는 신국과 맥얼 각 5돈을 더한다.《결고가진》",한의학고전DB
CLTX1322,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"枳朮湯心下堅大如盤, 邊如旋盃, 水飮所作. 寒氣不足, 則手足厥逆, 腹滿脅鳴相逐. 陽氣不通卽水冷, 陰氣不通卽骨疼. 陽前通則惡寒, 陰前通則痺不仁. 陰陽相得, 其氣乃行;大氣一轉, 其氣乃散. 實則失氣, 虛則遺尿, 名曰氣分, 宜此主之. 白朮一兩, 枳實七個, 水五升, 煮三升, 分三服. 胸中軟, 卽散.《仲景金玉函》","지출탕:명치가 단단하고 쟁반만 해져서 주변에 잔을 두른 듯한 증상은 물을 마시면 발생한다. 한기가 부족하면 손발이 싸늘해지고 배가 그득하며 옆구리에서 소리가 나면서 치받는다. 양기가 통하지 않으면 곧 몸이 싸늘해지고, 음기가 통하지 않으면 뼈가 욱신거린다. 양이 앞에서 통하면 오한이 되고, 음이 앞에서 통하면 마비되어 움직이지 못한다. 음양이 서로 알맞으면 기가 곧 운행되고, 큰 기가 한 번 전변하면 그 기가 곧 흩어진다. 실하면 기를 잃고 허하면 소변이 저절로 새어 나오게 되니, 이름이 기분(氣分)이고, 이것으로 주치해야 한다. 지출 1냥, 지실 7개를 물 5되에 넣고 달여 3되가 되면 세 번에 나누어 복용한다. 배 속이 연해지면서 곧 흩어진다.《중경금궤옥함》",한의학고전DB
CLTX1323,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"白朮膏服食滋補, 止久泄痢. 上好白朮十斤, 切片, 入瓦鍋內, 水淹過二寸, 文武火煎至一半, 傾汁入器內, 以渣再煎, 如此三次, 乃取前後汁同熬成膏, 入器中一夜, 傾去上面淸水, 收之. 每服二三匙, 蜜湯調下.《千金良方》","백출고:복용하면 자윤하게 하고 보해 주며, 오랜 설사와 이질을 멎게 한다. 상등품의 좋은 백출 10근을 얇게 썰어 사기로 만든 솥에 넣고 물을 넣어 2촌 깊이로 잠기게 한 다음 중간불로 달여 1촌 반이 되도록 한다. 이 즙을 그릇에 붓고 남은 찌꺼기는 다시 달여, 이와 같이 세 차례 한 다음 앞과 뒤에 나온 즙을 함께 졸여 고(膏)를 만들고 그릇에 넣어 하룻밤 보낸다. 위에 뜬 맑은 물을 부어 없애고 거두어 둔다. 이것을 2-3술씩 꿀물에 타서 복용한다.《천금양방》",한의학고전DB
CLTX1324,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"參朮膏治一切脾胃虛損, 益元氣. 白朮一斤, 人參四兩, 切片, 以流水十五碗浸一夜, 桑柴文武火煎取濃汁, 熬膏, 入煉蜜收之. 每以白湯點服.《集簡方》","삼출고:온갖 비위의 허손을 치료하고 원기를 증가시킨다. 백출 1근, 인삼 4냥을 얇게 썰어서 흐르는 물 15사발을 넣고 하룻밤 담갔다가 뽕나무로 피운 중간불로 달여 진한 즙을 낸다. 이것을 졸여 고를 만들고 졸인 꿀을 넣어 거두어 둔다. 이것을 끓인 물에 타서 복용한다.《집간방》",한의학고전DB
CLTX1325,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"胸膈煩悶白朮末, 水服方寸匕.《千金方》",흉격이 답답한 증상:백출 가루 1방촌시를 물로 복용한다.《천금방》,한의학고전DB
CLTX1326,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"心下有水白朮三兩, 澤瀉五兩, 水三升, 煎一升半, 分三服.《梅師方》","명치에 수(水)가 있을 때:백출 3냥, 택사 5냥에 물 3되를 넣고 1되 반이 되도록 달인 다음 세 번에 나누어 복용한다.《매사방》",한의학고전DB
CLTX1327,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"五飮酒癖①一留飮, 水停心下;②二癖飮, 水在兩脅下;③三痰飮, 水在胃中;④四溢飮, 水在五臟間;⑤五流飮, 水在腸間. 皆因飮食冒寒, 或飮茶過多致此. 倍朮丸. 用白朮一斤, 乾薑ㆍ桂心各半斤, 爲末, 蜜丸梧子大. 每溫水服二三十丸.《惠民和劑局方》","오음과 주벽:①유음(留飮)음 수가 명치에 정체되어 있다. ②벽음(癖飮)은 수가 양 옆구리 아래에 있다. ③담음(痰飮)은 수가 위 속에 있다. ④일음(溢飮)은 수가 오장(五臟) 사이에 있다. ⑤유음(流飮)은 수가 장(腸) 사이에 있다. 모두 음식으로 인해 한(寒)에 감모되었거나, 혹은 차를 지나치게 마셨기 때문이다. 배출환을 쓴다. 백출 1근, 건강(습지에 싸서 굽는다)ㆍ계심 각 반 근을 가루 내고 졸인 꿀에 개어 벽오동씨만 한 환약을 만든다. 이것을 따뜻한 물로 20-30환씩 복용한다.《혜민화제국방》",한의학고전DB
CLTX1328,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"四肢腫滿白朮三兩, 咀. 每服半兩, 水一盞半, 大棗三枚, 煎九分, 溫服, 日三四服, 不拘時候.《本事方》",팔다리가 부어오르는 증상:백출 3냥을 질게 간다. 이것을 반냥씩 물 1잔 반을 넣고 대추 3개를 넣은 다음 10분의 9가 되도록 달여 하루 3-4차례씩 아무 때나 따뜻하게 하여 복용한다.《본사방》,한의학고전DB
CLTX1329,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"中風口, 不知人事白朮四兩, 酒三升, 煮取一升, 頓服.《千金方》",중풍으로 이를 악다물고 인사불성일 때:백출 4냥에 술 3되를 넣고 1되가 될 때까지 달인 다음 단번에 복용한다.《천금방》,한의학고전DB
CLTX1330,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"産後中寒, 遍身冷直, 口, 不識人白朮四兩, 澤瀉一兩, 生薑五錢, 水一升, 煎服.《至寶》","출산 후 중한(中寒)으로 온 몸이 싸늘하고 뻣뻣하며 이를 악다물고 남을 알아보지 못하는 증상:백출 4냥, 택사 1냥, 생강 5돈에 물 1되를 넣고 달여 복용한다.《산보》",한의학고전DB
CLTX1331,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"頭忽眩運, 經夕不, 四體漸羸, 飮食無味, 好食黃土用朮三斤, 麴三斤, 搗篩, 酒和丸梧子大. 每飮服二十丸, 日三服. 忌菜ㆍ桃李ㆍ靑魚.《外臺秘要》","머리가 갑자기 어지러운 것이 오랫동안 낫지 않고 팔다리가 점차 야위거나, 음식 맛이 없거나, 황토를 즐겨 먹는 증상:백출 3근, 신국 3근을 찧고 체에 걸러 낸 다음 술을 넣고 개어 벽오동씨만 한 환약을 만든다. 이것을 20환씩 하루 세 번 복용한다. 상추, 복숭아와 오얏, 청어를 먹지 말아야 한다.《외대비요》",한의학고전DB
CLTX1332,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"濕氣作痛白朮切片, 煎汁熬膏, 白湯點服.《集簡方》",습기로 아픈 증상:백출을 얇게 잘라 달여 낸 즙을 졸인 다음 끓은 물에 타서 복용한다.《집간방》,한의학고전DB
CLTX1333,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"中濕骨痛朮一兩, 酒三盞, 煎一盞, 頓服. 不飮酒, 以水煎之.《三因良方》",중습(中濕)으로 뼈가 아픈 증상:백출 1냥에 술 3잔을 넣고 1잔이 되도록 달인 다음 단번에 복용한다. 술을 마시지 못하면 물에 넣고 달여 낸다.《삼인양방》,한의학고전DB
CLTX1334,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"婦人肌熱, 血虛者吃力伽散. 用白朮ㆍ白茯ㆍ白芍藥各一兩, 甘草半兩, 爲散, 薑ㆍ棗煎服.《王燾外臺秘要》","부인의 피부에 열이 나고 혈이 허한 증상:흘력가산(吃力伽散)을 쓴다. 백출ㆍ백복령ㆍ백작약 각 1냥, 감초 반 냥을 가루 내고 생강ㆍ대추와 함께 달여 복용한다.《왕도외대비요》",한의학고전DB
CLTX1335,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"小兒蒸熱, 脾虛羸瘦, 不能飮食方同上.",어린아이가 찌는 듯이 열이 나고 비가 허하여 몸이 여위며 음식을 먹지 못할 때:처방은 앞과 같다.,한의학고전DB
CLTX1336,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"風瘙疹白朮爲末, 酒服方寸匕, 日二服.《千金方》",풍으로 가렵거나 은진(疹)이 발생하였을 때:백출을 가루 내고 술로 1방촌시씩 하루 두 번 복용한다.《천금방》,한의학고전DB
CLTX1337,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"面多, 雀卵色苦酒漬朮, 日日拭之, 極效.《後方》",얼굴에 기미가 많이 생기고 색이 참새 알과 같은 증상:식초에 담근 백출로 날마다 환부를 닦아 주면 매우 효과가 좋다.《주후방》,한의학고전DB
CLTX1338,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"自汗不止白朮末, 飮服方寸匕, 日二服.《千金方》",자한(自汗)이 멎지 않는 증상:백출 가루를 미음으로 1방촌씨씩 하루 두 번 복용한다.《천금방》,한의학고전DB
CLTX1339,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"脾虛盜汗白朮四兩, 切片. 以, 一兩同牡蠣炒, 一兩同石斛炒, 一兩同麥, 揀朮爲末. 每服三錢, 食遠粟米湯下, 日三服.《丹溪方》","비가 허하여 도한이 나는 증상:백출 4냥을 얇게 자른다. 1냥은 황기와 함께 볶고, 1냥을 모려와 함께 볶고, 1냥은 석곡과 함께 볶고, 1냥은 밀기울과 함께 볶은 다음 백출만 빼서 가루 낸다. 이것을 3돈씩 밥 먹은 지 한참 뒤에 속미음으로 하루 세 번 복용한다.《단계방》",한의학고전DB
CLTX1340,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"老小虛汗白朮五錢, 小麥一撮, 水煮乾, 去麥爲末. 用黃耆湯下一錢.《全幼心鑑》","노인과 소아의 허한:백출 5돈, 소맥 1자밤을 물에 넣고 물이 마를 때까지 달인 다음 소맥을 빼내고 가루 낸다. 이것을 황기 달인 물에 1돈을 타서 복용한다.《전유심감》",한의학고전DB
CLTX1341,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"産後嘔逆, 別無他疾者白朮一兩二錢, 生薑一兩五錢, 酒ㆍ水各二升, 煎一升, 分三服.《婦人良方》","출산 후 구역질이 나지만 특별히 다른 질병이 없을 때:백출 1냥 2돈, 생강 1냥 5돈에 술과 물 각 2되를 넣고 1되가 될 때까지 달인 다음 세 번에 나누어 복용한다.《부인양방》",한의학고전DB
CLTX1342,KMH305,본초강목,本草綱目 卷十二下 > 草之一 山草類上一十八種 > 朮 直律切. 《本經》上品 > 朮白朮也. > 附方,"脾虛脹滿, 脾氣不和, 冷氣客於中, 壅不通, 是爲脹滿寬中丸. 用白朮二兩, 橘皮四兩, 爲末, 酒糊丸梧子大. 每食前木香湯送下三十丸, 效.《指迷方》","비가 허하여 속이 불러오르고 그득한 증상은, 비기가 고르지 못하여 냉기가 속으로 들어와 막히고 소통되지 않았기 때문에 불러 오르고 그득하다. 관중환(寬中丸)을 쓴다. 백출 2냥, 귤피 4냥을 가루 내고 술을 넣고 쑨 풀에 개어 벽오동씨만 한 환약을 만든다. 이것을 식전에 목향 달인 물로 30환을 복용하면 효과가 있다.《지미방》",한의학고전DB
